,Region,Country
82,CARIBBEAN,St. Vincent and the Grenadines
83,CARIBBEAN,Trinidad and Tobago
84,SOUTH AMERICA,Argentina
85,SOUTH AMERICA,Bolivia
86,SOUTH AMERICA,Brazil
87,SOUTH AMERICA,Chile
88,SOUTH AMERICA,Colombia
89,SOUTH AMERICA,Ecuador
90,SOUTH AMERICA,French Guiana
91,SOUTH AMERICA,Guyana
92,SOUTH AMERICA,Paraguay
93,SOUTH AMERICA,Peru
94,SOUTH AMERICA,Suriname
95,SOUTH AMERICA,Uruguay
96,SOUTH AMERICA,Venezuela
97,WESTERN ASIA,Armenia
98,WESTERN ASIA,Azerbaijan
99,WESTERN ASIA,Bahrain
100,WESTERN ASIA,Cyprus
101,WESTERN ASIA,Georgia
102,WESTERN ASIA,Iraq
103,WESTERN ASIA,Israel
104,WESTERN ASIA,Jordan
105,WESTERN ASIA,Kuwait
106,WESTERN ASIA,Lebanon
107,WESTERN ASIA,Oman
108,WESTERN ASIA,Palestinian Territory
109,WESTERN ASIA,Qatar
110,WESTERN ASIA,Saudi Arabia
111,WESTERN ASIA,Syria
112,WESTERN ASIA,Turkey
113,WESTERN ASIA,United Arab Emirates
114,WESTERN ASIA,Yemen
115,CENTRAL ASIA,Kazakhstan
116,CENTRAL ASIA,Kyrgyzstan
117,CENTRAL ASIA,Tajikistan
118,CENTRAL ASIA,Turkmenistan
119,CENTRAL ASIA,Uzbekistan
120,SOUTH ASIA,Afghanistan
121,SOUTH ASIA,Bangladesh
122,SOUTH ASIA,Bhutan
123,SOUTH ASIA,India
124,SOUTH ASIA,Iran
125,SOUTH ASIA,Maldives
126,SOUTH ASIA,Nepal
127,SOUTH ASIA,Pakistan
128,SOUTH ASIA,Sri Lanka
129,SOUTHEAST ASIA,Brunei
130,SOUTHEAST ASIA,Cambodia
131,SOUTHEAST ASIA,Indonesia
132,SOUTHEAST ASIA,Laos
133,SOUTHEAST ASIA,Malaysia
134,SOUTHEAST ASIA,Myanmar
135,SOUTHEAST ASIA,Philippines
136,SOUTHEAST ASIA,Singapore
137,SOUTHEAST ASIA,Thailand
138,SOUTHEAST ASIA,Timor-Leste
139,SOUTHEAST ASIA,Vietnam
140,EAST ASIA,China
141,EAST ASIA,"China, Hong Kong SAR"
142,EAST ASIA,"China, Macao SAR"
143,EAST ASIA,Japan
144,EAST ASIA,"Korea, North"
145,EAST ASIA,"Korea, South"
146,EAST ASIA,Mongolia
147,EAST ASIA,Taiwan
148,Channel Islands,Denmark
149,Channel Islands,Estonia
150,Channel Islands,Finland
151,Channel Islands,Iceland
152,Channel Islands,Ireland
153,Channel Islands,Latvia
154,Channel Islands,Lithuania
155,Channel Islands,Norway
156,Channel Islands,Sweden
157,Channel Islands,United Kingdom
158,WESTERN EUROPE,Austria
159,WESTERN EUROPE,Belgium
160,WESTERN EUROPE,France
161,WESTERN EUROPE,Germany
162,WESTERN EUROPE,Liechtenstein
163,WESTERN EUROPE,Luxembourg
164,WESTERN EUROPE,Monaco
165,WESTERN EUROPE,Netherlands
166,WESTERN EUROPE,Switzerland
167,EASTERN EUROPE,Belarus
168,EASTERN EUROPE,Bulgaria
169,EASTERN EUROPE,Czechia
170,EASTERN EUROPE,Hungary
171,EASTERN EUROPE,Moldova
172,EASTERN EUROPE,Poland
173,EASTERN EUROPE,Romania
174,EASTERN EUROPE,Russia
175,EASTERN EUROPE,Slovakia
176,EASTERN EUROPE,Ukraine
177,SOUTHERN EUROPE,Albania
178,SOUTHERN EUROPE,Andorra
179,SOUTHERN EUROPE,Bosnia-Herzegovina
180,SOUTHERN EUROPE,Croatia
181,SOUTHERN EUROPE,Greece
182,SOUTHERN EUROPE,Italy
183,SOUTHERN EUROPE,Kosovo
184,SOUTHERN EUROPE,Malta
185,SOUTHERN EUROPE,Montenegro
186,SOUTHERN EUROPE,North Macedonia
187,SOUTHERN EUROPE,Portugal
188,SOUTHERN EUROPE,San Marino
189,SOUTHERN EUROPE,Serbia
190,SOUTHERN EUROPE,Slovenia
191,SOUTHERN EUROPE,Spain
192,OCEANIA,Australia
193,OCEANIA,Federated States of Micronesia
194,OCEANIA,Fiji
195,OCEANIA,French Polynesia
196,OCEANIA,Guam
197,OCEANIA,Kiribati
198,OCEANIA,Marshall Islands
199,OCEANIA,Nauru
200,OCEANIA,New Caledonia
201,OCEANIA,New Zealand
202,OCEANIA,Palau
203,OCEANIA,Papua New Guinea
204,OCEANIA,Samoa
205,OCEANIA,Solomon Islands
206,OCEANIA,Tonga
207,OCEANIA,Tuvalu
208,OCEANIA,Vanuatu
